Study_Hours,Exam_Score
2,31
5,58
4,49
2,41
9,88
10,100
1,23
2,34
4,55
10,95
9,90
9,93
4,54
10,99
1,25
7,76
5,57
4,52
2,32
7,72
6,68
10,99
1,30
9,88
7,72
9,91
10,100
10,98
2,31
4,51
2,34
2,37
5,62
6,65
6,68
4,57
5,65
2,40
3,47
4,49
8,85
5,65
9,90
6,63
4,47
6,69
5,56
4,56
6,66
8,85
8,81
5,57
4,55
9,91
10,100
10,100
6,66
3,47
8,80
1,24
3,49
3,49
7,80
2,37
7,80
8,87
5,63
1,33
2,41
9,91
6,64
5,61
3,46
1,27
9,89
9,88
5,65
9,96
4,49
6,65
9,95
1,32
6,70
1,24
6,67
4,47
4,56
2,32
8,80
9,89
3,49
8,87
3,43
9,96
7,74
9,90
5,61
6,70
9,94
2,34
4,48
6,63
10,100
4,56
4,47
2,41
1,26
2,31
6,64
9,90
5,65
8,82
9,89
10,100
8,82
8,85
4,48
2,41
7,76
7,77
8,79
2,31
7,76
2,34
4,50
9,94
3,45
3,43
8,82
2,38
9,88
1,33
9,87
2,34
3,45
8,86
4,53
1,25
7,71
7,75
8,83
7,79
8,81
4,51
4,47
10,100
1,28
1,23
10,100
9,95
3,39
9,88
3,40
10,96
4,53
2,40
4,56
10,95
10,96
7,81
10,100
9,92
5,58
6,66
5,61
3,49
5,62
6,64
1,30
10,100
2,32
9,90
9,91
3,44
2,34
6,67
3,46
9,91
10,100
9,87
9,91
2,33
5,56
2,39
3,43
5,64
4,52
4,57
5,63
8,83
1,24
7,75
1,23
6,65
5,57
8,87
7,79
1,24
2,33
9,87
6,72
9,89
7,73
1,27
6,63
6,66
4,57
2,36
9,93
10,97
4,49
3,45
1,25
6,69
4,51
3,40
7,71
8,82
4,54
6,67
4,50
1,33
4,53
6,67
2,35
6,73
9,93
9,92
1,24
5,57
10,99
1,24
10,100
6,68
7,80
9,88
7,80
4,51
1,29
1,31
9,97
4,52
7,72
6,72
6,73
2,35
9,91
7,76
7,75
9,89
4,53
7,81
3,48
10,99
7,79
1,27
5,58
7,80
10,100
6,70
8,86
4,55
8,81
2,35
9,97
10,100
2,34
5,58
4,49
1,23
4,54
10,96
8,85
10,98
7,78
7,74
3,49
1,24
7,74
3,47
8,79
9,90
2,38
3,46
9,95
10,100
8,88
9,93
9,94
3,46
8,83
4,57
5,63
8,89
4,51
8,80
5,58
5,60
6,71
2,33
3,42
7,73
4,48
7,77
6,71
8,85
1,26
7,77
10,95
10,100
8,79
6,67
7,77
9,95
10,98
8,82
5,61
8,79
7,76
7,73
8,81
10,100
1,29
10,100
1,24
7,73
8,81
1,27
7,76
4,54
6,68
7,75
7,75
2,38
1,31
1,28
4,57
2,41
1,23
4,50
1,32
3,42
3,46
2,40
4,54
5,60
3,48
10,96
3,43
2,40
1,27
10,100
7,77
4,48
10,100
4,48
5,65
10,96
10,95
6,71
7,81
6,64
9,97
6,63
7,78
2,37
6,73
8,81
7,73
9,97
5,64
9,94
8,85
10,99
6,66
2,35
8,82
8,88
10,100
7,76
1,30
6,65
8,82
6,67
6,67
10,99
9,87
9,90
2,34
7,78
9,90
8,89
8,86
1,24
5,58
7,74
5,65
10,100
8,87
9,92
7,79
6,68
8,83
5,59
4,48
4,52
2,39
3,42
4,54
5,64
9,96
5,56
4,51
4,52
3,43
1,31
3,43
1,23
9,91
3,49
8,80
1,32
5,62
8,86
6,65
1,27
8,80
2,37
8,80
10,100
1,25
3,48
5,56
4,48
9,93
10,100
10,98
9,93
8,86
5,64
7,75
10,100
1,32
2,34
4,51
2,33
4,49
9,88
